phrasalVerb,example
ask around,"It may only be known by those already working in your chosen field, so ask around."
ask for,Anyone who drives while they’re drunk is just asking for it.
ask for,He’s always reluctant to ask for anyone’s help.
ask for,I couldn’t ask for a more caring bunch of people to work with.
ask for,She’s asking for trouble speaking to people like that.
ask for,There’s someone in the shop asking for the manager.
ask for,We couldn’t have asked for better weather.
ask out,Finally he asked her out.
ask out,Let her breathe the air outside of Sanctuary for a time and then ask her the same question.
ask out,She was rather disgusted that she had not thought to ask Filip to pack any food.
ask out,"Walter, she checked into that hotel alone - don't ask me why, I can't explain it."
ask out,"We're friends, so I'm going to keep my temper and ask you what you're suggesting."
associate with,"While she was in Paris, she associated with many well-known artists."
attend to,Are you being attended to?
attend to,He likes work that requires him to attend to a lot of detail.
attend to,Please take a seat and I’ll ask someone to attend to you.
attend to,We still have a number of other matters to attend to.
average out,"Total contributions average out at over £1,000 a week."
awaken to,It took them many years to awaken to the dangers they were facing.
awaken to,Someone needed to awaken Gavin to the fact that his marriage was in danger.
back away,The World Bank is backing away from big infrastructure projects.
back away,The photo showed a woman backing away from a man with a gun.
back down,But he backed down after furious critics said transparency was vital to public trust.
back down,How do we get him back down there?
back down,Neither side is willing to back down.
back down,We will not back down on the decision to strike.
back off,"Back off, will you? I’ll tell you when I’m ready!"
back off,Everyone back off and let the doctor through.
back off,"Her long copper-colored hair was tied back off her face, a few wavy strands curling free."
back off,"Peering past his nose ring, the diminutive bartender didn't blink, and he didn't back off either."
back off,"She sat cross-legged on the rock, the mountain breeze playing with her hair, drawing it back off her face."
back off,"The dazzling sunlight bounced back off the swimming pool, a painful emerald glare."
back onto,a field that backs onto a railway line
back out,"He brushed it back out of his eyes, intrigued enough to say: `Yes, once."
back out,"He doesn't want her back out of love, or out of his desperation to make a good album."
back out,"Her lips twisted in wry acknowledgement, then she found reverse gear and let in the clutch to back out."
back out,I promised to help and I’m not backing out now.
back out,"I'd like you to take care of Mr. Bonham and get him back out to the Wasp, next available transportation."
back out,We’re hoping that no one will back out of the deal.
back out of,I promised to help and I’m not backing out now.
back out of,We’re hoping that no one will back out of the deal.
back up,All the evidence backs up her story.
back up,Back up: didn’t you say they had already met?
back up,Cars were backed up for miles.
back up,I need everyone to back up about 10 paces.
back up,If I ask for more money will you back me up?
back up,I’ll back the car up the driveway.
back up,Orders are really backed up this month.
back up,See if you can back up a bit further.
back up,The notion that our southern friends take more risks seems to be backed up by the statistics.
back up,There are fears that stinking sewage may back up into homes and businesses.
back up,Traffic is backing up on all out-of-town routes.
bag up,They’ll only accept coins that have been bagged up.
bail out,"And then, because of the FDIC, the taxpayers had to bail out the banks."
bail out,Investors bailed out of high-tech stocks as prices plunged.
bail out,My father got a lawyer and bailed me out.
bail out,The government has already bailed the project out once before.
bail out of,Investors bailed out of high-tech stocks as prices plunged.
bail out of,My father got a lawyer and bailed me out.
bail out of,The government has already bailed the project out once before.
balance out,Don’t worry – it’ll all balance out in the end.
balance out,The tangy fruit balances out the creaminess of the sauce.
balance up,We need to balance up inequality of treatment between men and women.
band together,A small group of survivors band together and go in search of a safe haven in an America that has been overrun by ravenous zombies.
band together,But ugly people do not band together: there is no conscious group formation around the idea of ugly.
band together,It was envisaged that some might then wish to become landscape gardeners while others would band together to buy small farms sold to them by Mrs Belmont.
band together,The various opposition groups have banded together to form a single party.
band together,Their threat: that they will band together and protect themselves from Chinese imports with tariffs and other measures.
bang on,Is she still banging on about the neighbours?
bang on,My look is set to be bang on trend.
bang on,This autumn it was bang on cue.
bang on about,Is she still banging on about the neighbours?
bang up,He spent seven years banged up in a prison cell.
bang up,How did your truck get all banged up?
bang up,I came past the stables just before the storm broke---there's a bang-up pair of greys stabled there.
bank in,"The dogs have been vaccinated now, and we have banked in the money to the vet directly."
bank on,"Indeed, some pharmaceutical manufacturers are banking on it."
bank on,She is upbeat about the polls and is banking on an unpopular president and an unpopular war.
bank on,They are banking on the future being good.
bank on,They’re banking on him to save the match.
bank up,"Before going to bed, she banked up the fire."
bank up,Soil was banked up against the wall.
bargain on,She’s bargaining on me changing my mind.
barge in,He just barged in on us in the middle of a meeting.
barge in,The kids just barge in without knocking.
base on,Green politics are based on the belief that the resources of the planet are finite.
base on,He bases his designs on Roman mosaics.
base on,Prices are based on two people sharing a room.
base on,The film is based on a true story.
base on,The prosecution’s case is based largely on evidence from ex-members of the gang.
bash away at,She’s still bashing away at her last chapter.
bash on,I’d better bash on with this – I’ll see you later.
batter down,Police battered down her door and found the girl.
batter down,Some escaped after a bouncer battered down a partition wall.
batter down,They battered down the door only to find that the suspect had already been arrested.
bear down,I can't have a wobbly surface when I'm trying to bear down.
bear down,I could see a police car bearing down on us.
bear down,"I'd run this gauntlet with clients a zillion times, there was nothing to do but bear down and go forward."
bear down,It’s a natural instinct for a woman giving birth to bear down.
bear down,The structure is positioned to bear down on its supports.
bear down,"The wind reached Harmony, slamming her boom to port; she began to bear down on Grace."
bear down,These two things seemed to bear down on me with all the weight of a personal failure.
bear down on,I could see a police car bearing down on us.
bear down on,It’s a natural instinct for a woman giving birth to bear down.
bear down on,The structure is positioned to bear down on its supports.
bear on,Do you have any information bearing on his disappearance?
bear out,"However, we did carry out the usual measurements and they bear out her observations."
bear out,I always said – and Rick will bear me out – that this wouldn’t work.
bear out,"Now, that could bear out what I've always thought -- that Alec was set up, that he knew too much, and now he wants to blow it sky high."
bear out,Scientific evidence bears out the claim that stress and disease are linked.
bear up,A few nights ago during the course of a dinner I got an insight into how he is bearing up.
bear up,"Asked how he was bearing up under the mounting questions about his economic competence, he was dismissive of the sceptics."
bear up,But his protests of poverty do not bear up to scrutiny.
bear up,I feel all right but am just bearing up.
bear up,Let’s see how he bears up under the pressure.
bear up,"Many of those losing their homes are bearing up, making ironic jokes and getting on with salvaging upstairs furniture and white goods."
bear up under,Let’s see how he bears up under the pressure.
bear with,But bear with us here.
bear with,"I know it's boring, but bear with me for a bit."
bear with,"If you just bear with me for a few more minutes, we’ll have all the paperwork finished."
beat down,"As the sun beat down, a beach ball was launched along the terrace."
beat down,I could feel the sun beating down on my head.
beat down,The midday sun beat down on the men as they lay in the ditches and fields around the village.
beat down,"The original price was £100,000, but we beat them down to £95,000."
beat down,The sun beat down on our economy rental car.
beat down,The sun beats down from a clear blue sky.
beat off,He had to beat the dogs off with a stick.
beat off,Virgin Airlines must beat off stiff competition to win the contract.
beat off,efforts to beat off their rivals
beat on,"According to the witness, the police ran up and started beating on him."
beat out,Atlanta beat out Athens for the privilege of hosting the 1996 Olympics.
beat out,He claims that the confession was beaten out of him.
beat out,Now the drummers ahead of the lines beat out a quicker cadence in a great booming thunder as ten thousand men began marching forward.
beat out,She beat out the flames with a branch.
beat out,drummers beating out a rhythm
beat up,A husband who beat up his wife in a row over rubbish going into the wrong recycling bins is facing jail.
beat up,"He and his henchman kidnapped and beat up a borrower who had ended up owing £250,000 in interest alone."
beat up,He did a year for beating up a pub landlord and trying to cover it up.
beat up,He quaffed back his beer and strode through the beat-up hotel lobby.
beat up,"He sat in the chair, his elbows resting on the beat-up table, embarrassed at what his answer had to be."
beat up,I got beat up in the jungle.
beat up,I'm glad you got an old beat-up car instead of a gross Cadillac or something.
beat up,It’s time you stopped beating yourself up over this.
beat up,"Kenneth would send him and he'd come like a beat-up, punch-drunk fighter; useless and straight into the trap."
beat up,They threatened to beat me up if I didn’t give them my wallet.
beat up on,He and his brother are always beating up on each other.
beat up on,I’m not here to beat up on single parents.
beaver away,He was beavering away at his homework until after midnight.
become of,"If she is sent to prison, what will become of her children?"
become of,Whatever became of the painting that used to be in your grandfather’s library?
bed down,Extra guests can bed down in neighbouring barns that sleep up to six.
bed down,It was time to bed down for the night.
bed down,John and Steve can bed down in the living room.
bed down,Last night those still holding out hope of getting on to flights bedded down for a second time under silver foil blankets.
bed down,Smear the chicken with 1 tbsp olive oil and bed down on the thyme.
bed down,"The creatures were expected to bed down from December until March, but more than 400 have already woken up."
beef up,But he had just alerted police that his life was in danger and beefed up security at his home.
beef up,He laughs at the suggestion that he used steroids to beef up for the role.
beef up,The Indian central bank has been beefing up its reserves.
beef up,The hotel plans to beef up its marketing effort.
beef up,We have beefed up security for his national tour.
believe in,I don’t believe in miracles.
believe in,I’m beginning to think you actually believe in ghosts!
believe in,She used to say she didn’t believe in marriage.
believe in,Some of his previous supporters have stopped believing in him.
believe in,Some of his supporters have stopped believing in him.
belong to,"Of course, all the credit really belongs to my partner, Sam."
belong to,She belongs to the school computer club.
belong to,The car belongs to the woman next door.
belong to,The future belongs to you.
belong to,They belong to a different generation.
belong to,This belongs to the same family of drugs as Prozac.
belong to,This painting clearly belongs to a later period.
belong to,Who does this coat belong to?
belt out,"`But who the thieves were, or how they got the belt out of the museum, no one can guess,"" Taro said unhappily."
belt up,"After all it's no longer my house...' `Och, belt up ,' said Grey good-naturedly."
belt up,"Oh, belt up ,"" whispered Alec, as he heard footsteps in the corridor."
belt up,"With his good hand he picked his sword belt up from the chest and slung it onto the bed next to her, then raised the lid to rummage round."
bid up,"Last week, they bid up the hush money we pay out to that bent inspector, an ""he closed us down in two places."
big up,It was an article bigging up some new DJ.
big up,This time next week we’ll be bigging it up in Ibiza.
bill as,Electric cars are being billed as the automobiles of the future.
bind over,They were bound over to keep the peace.
bite at,The animals might bite at your fingers if you put them through the fence.
bite back,And he wanted to get some bite back into his forwards.
bite back,But you need to bite back impatience to get good results from cash talks.
bite back,It was his instinct to bite back.
bite back,Paul bit back an angry reply.
bite back,The Big Apple is going to bite back.
bite back,The show gets its bite back in a Rocky Horror special.
bite into,The metal collar bit into his neck.
bite off,Are you sure you haven’t bitten off more than you can chew with this job?
bite off,I bit off a chunk of chocolate.
black out,Half the pages in the report had been blacked out for security reasons.
black out,He had blacked out as his car hit the tree.
black out,"Just as he knew he was about to black out, Joab flung him into the cell and slammed the grate shut."
blank out,I don’t know what happened – I just blanked out.
blank out,Some of the words had been blanked out.
blank out,The experience was so terrible he just blanked it out.
blast away,Machine guns were blasting away in the distance.
blast away,One night we had just dropped our bombs over Dusseldorf and the anti aircraft guns blasted away at us.
blend in,Security men were trying to blend in with the crowd.
blend in,The new library blends in perfectly with the surrounding buildings.
blend into,Her dreams had a way of blending into her waking thoughts.
block in,Broad flat brushes are useful for blocking in colour.
block in,"His home was a fifth-floor apartment in a modern block in Pimlico, close to Ebury Street where Mozart had once lived."
block in,Just block in the main points for now and we’ll sort the details out later.
block in,"Two days later, at the specified time, she entered a crumbling apartment block in Montmartre."
block in,When I came back to the car park my car was blocked in.
block in,"Working through lunch, as usual, grabbing a sandwich Cheryl had brought in from the deli down the block in between phone calls."
block off,Snow had blocked off several streets.
block out,He had always managed to block out the incident.
block out,Previous experience had taught him that having the Fat Man in the background tended to block out the light.
block out,"Sabrina snatched up the photograph and used her hand first to block out the beard, then the hair."
block out,That tree in the neighbour’s garden blocks out a lot of light.
block out,"The human sphere, willfully insensitive as it was, couldn't entirely block out the presence of supernatural forces in its midst."
block up,One end had been blocked up with piled stones.
block up,We had continual problems with leaves blocking up the gutters.
blot out,Dark clouds overhead had blotted out the sun.
blot out,"He must sever all ties of memory and sentimentality, blot out, above all, the insidious tug of longing."
blot out,She tried hard to blot out the bitter memories of the divorce.
blot up,With paper towels you can blot any spills up easily.
blow apart,The aircraft was blown apart by a terrorist bomb.
blow apart,The book blew apart the myth of their perfect marriage.
blow away,"All the inconvenience of free will and death blown away for just 63,000 and a series of mirrors."
blow away,At least outdoor pollution gets blown away sometimes by a good wind.
blow away,But most of those memories were just blown away by Africa.
blow away,But we were absolutely blown away by just how effective the combination of ingredients was.
blow away,Cable's froth will not be blown away just yet.
blow away,France are going to get blown away in that final.
blow away,France were poor and they are going to get blown away in the final.
blow away,HERE'S a story to make you sick as you get blown away in Britain.
blow away,He was totally blown away by it.
blow away,He'll get blown away by the big boys.
blow away,His hat blew away on the roller coaster.
blow away,I listened to it and was just blown away.
blow away,I was just blown away by him.
blow away,I was totally blown away when I met her.
blow away,In the early days you're fearless and doubts get blown away by the action.
blow away,"It is a waste of energy to sing and proclaim the ownership of a territory, when the song just gets blown away."
blow away,Just a really genuine young lad totally blown away by his own good fortune.
blow away,People are just blown away by the quality.
blow away,She switched on the fan to blow away the smoke.
blow away,"She took one bullet through the lower arm and another that blew away the top of her shoulder, but she lived."
blow away,"Something snaps, and it all gets blown away."
blow away,The American stopper managed to bag a backstage pass and was blown away to meet his hero.
blow away,"The hills have a completely altered skyline, one peak blown away, another grown higher."
blow away,"Totally blown away by an inventive, workmanlike Sunderland."
blow away,We were just blown away.
blow away,When I heard that song for the first time it just blew me away.
blow down,A big tree had blown down in the storm.
blow down,A sudden gust of wind blew down the fence.
blow in,A cool breeze blew in from the coast.
blow in,Charlie and May just blew in for a visit.
blow in,The gale blew in every window in the house.
blow off,A gust of wind blew her hat off.
blow off,An explosion blew one of the wings off the plane.
blow off,I can’t believe you blew off the exam.
blow off,The roof blew off in the storm.
blow off,The soldier blew the sniper’s arm off.
blow out,"As far as it goes, my calculations indicate that the explosive would be sufficient to blow out the top of the tunnel lining."
blow out,He blew out all 60 candles on his birthday cake.
blow out,"He said,'I hardly ever have a blow-out like this, Gina, I hardly ever have the day off... I need this."
blow out,He was driving on the motorway when one of his front tyres blew out.
blow out,"I waited to see her blow out the candles on her cake, but there wasnt a cake."
blow out,The bomb blew out all the windows on the bus.
blow out,"The transmissions howled, trying to blow out of the engine room."
blow out,They’ve blown out every team they’ve played this season.
blow out,"We had to blow out the candles first, and when we'd done so I heard myself say, `There go twenty-one wasted years of our married life."
blow over,It is clear what he would like to do - to hope that the storm blows over.
blow over,"It was a major scandal, and we all hoped it would soon blow over."
blow over,Several trees had been blown over in the gale.
blow over,The dustbins have blown over and there’s rubbish everywhere.
blow over,You'd be surprised how long winter viruses can take to blow over.
blow up,A political row has blown up over the minister’s remarks.
blow up,"Amelia loved Freddie's cottage and was delighted with the sleeping arrangements, especially her blow up bouncy bed."
blow up,She could have been a blow-up doll for all she mattered to him.
blow up,She just blew up at me.
blow up,Surely the first thing they did was to blow up the relay stations.
blow up,Terrorists had threatened to blow up the embassy.
blow up,"The boiler blew up, wrecking the whole house."
blow up,"The moment the racket signalled a premature blow-up, the cadres of conspirators went into action."
blow up,The race had to be cancelled when the storm blew up.
blow up,They had blown up the picture to make a huge poster of his face.
blow up,"To judge by that silicon slag the other night, Stephen's extramarital tastes would be satisfied by a blow-up rubber doll."
blow up,We blew up lots of balloons and hung them around the room.
blow up,"We don't know what's coming -- Vangelis may come home, Greece may blow up, there's no knowing."
blow up,"`That's Hector Coyne, the MP someone tried to blow up last Saturday."
board off,Part of the garage had been boarded off during building works.
board out,The children were boarded out with foster parents.
board over,They boarded over all the old fireplaces.
board up,All the windows were either broken or boarded up.
bob up,A head bobbed up from behind the fence.
bog down,My car had a flat tyre and the jack was likely to bog down.
bog down,"She said she'd prefer to be with her Ma and her Da, and his mates and her friends, and not hidin' in a soddin ' bog down south."
bog down,The meeting got bogged down with disputes about who was going to do what.
bog down,There was enough heavy gear to bog down a couple of camels and we stopped often to rest and listen and look for the guard.
bog down,Try not to get bogged down in unnecessary detail.
boil away,Allow the liquid to boil away until you are left with tender vegetables and little moisture left in the pan.
boil away,Boil away about a third of the sauce.
boil away,Check every 20 minutes to make sure the water has not boiled away.
boil away,"Remove lid and boil away liquid, pushing veg to the side."
boil down,Boil the meat juices down to make a thick sauce.
boil down,I wondered how forty years of life could suddenly boil down to a lesson in triage.
boil down,Whole pages of information get boiled down to one paragraph in the paper.
boil down,"`You must realise that, in your predicament, when you have too much fear, even the infinite outcomes boil down to two basic ones."
boil down to,A year's work boils down to this one game.
boil down to,"And their wedding was frankly a year's worth of admirably useless insanity, all boiled down to one day."
boil down to,England's chances over the next five weeks boil down to one not so simple thing: can their batsmen score enough runs in the first innings consistently?
boil down to,Everything we had problems with each other about just boils down to one thing - victims of circumstance.
boil down to,"For all the techniques they employ, this work still boils down to one man of courage making a lonely walk."
boil down to,He said: 'It boils down to one player switching off.
boil down to,It all boils down to one thing: looking like you bounce in bed.
boil down to,It boiled down to one kick of the ball on the day.
boil down to,"It’s difficult to choose which appliance to buy, but in the end it usually boils down to cost."
boil down to,"Let me tell you, any big case that can be boiled down to one phrase is always a winner."
boil down to,"My ability to stick with the project, though, will always boil down to one main thing."
boil down to,"Once you cut through the various interpretations of the size of the loan scheme and the value of the taxpayers' holdings, it boils down to one figure."
boil down to,"The music is great, but 120 is a lot to spend on what boils down to one album."
boil down to,The summit disaster boils down to one fact.
boil over,And City's frustrations boiled over as two of their key stars began shouting at each other in the tunnel at the interval.
boil over,And that frustration boiled over on 39 minutes when he was sent off for a stupid tackle on Yoshida.
boil over,And will not that anger sometimes boil over?
boil over,Anger boiled over in Pakistan yesterday as heavy rain continued and survivors blocked a major road with boulders to protest at the slow delivery of aid.
boil over,"As anger boiled over, Haitian riot police wielding batons and shields charged the pitiful mob."
boil over,"As evidence emerged of how little progress has been made, the frustration of relatives of those on board the plane boiled over again."
boil over,Boil hard for 2 min; be careful not to allow the liquid to boil over.
boil over,Both teams finished with ten after the game boiled over in the 72nd minute.
boil over,He allowed his frustrations to boil over at the end of the first half and lost the plot for a booking.
boil over,He thinks his family and friends have turned I against him and his anger boils over.
boil over,His frustration boils over on to the page.
boil over,If that anger boils over on the pitch and he gets sent off it will be over.
boil over,It is the time they ask for their unpaid wages - and the time when their anger boils over.
boil over,Once again she boiled over in her anxiety to get on with things.
boil over,Racial tensions in the area were boiling over.
boil over,Sometimes the frustration boils over.
boil over,That frustration has boiled over in recent weeks as senior ministers have tried to put together a package of measures to boost growth for the autumn.
boil over,The anger that boiled over last year when the government proposed to relax planning restrictions showed how little love the public has for the building industry.
boil over,The dispute finally boiled over into a series of violent protests.
boil over,There are just a few shows left so the heat has been ramped up from simmering point to almost boiling over.
boil over,There was a hissing sound as the soup boiled over.
boil over,"Twice, Birmingham had efforts cleared off the line and their frustrations finally boiled over."
boil over,"With bankruptcy looming within weeks, frustration is boiling over in Athens."
boil up,Anger was boiling up inside me.
boil up,"As if it would boil up, bursting forth suddenly: scorching, burning up not only her but all around her."
boil up,"I'd boil up a lobster, only I'm sick to the hind teeth of the damned things."
boil up,Keep the chicken bones and boil them up to make stock.
boil up,"Malone felt the anger boil up in him, but somehow he sat on it."
boil up,Will you boil up some water?
bomb out,Half the town was bombed out of their homes in the raid.
bone up,He’s boning up for his final exams.
bone up,She boned up on the company before the interview.
bone up on,He’s boning up for his final exams.
bone up on,She boned up on the company before the interview.
book in,Ann flicked through the pages of the battered book in front of her.
book in,He’s booked himself in at a health spa.
book in,I’d just arrived at the conference and hadn’t had time to book in.
book in,"People on airplanes often told me stuff, even though I'd put a book in my lap and close my eyes."
book in,"Rose Kelly probably hadn't read an `adult"" book in her life!"
book on,Could you book me on the 8.30 flight?
boot out,His girlfriend has booted him out.
boot out,They were booted out of the club for fighting.
boot up,He kept booting the ball into the crowd.
boot up,It’ll take my laptop a couple of minutes to boot.
border on,"First of all, they had to get into the country, across a very hot border on the Golan Heights."
border on,a feeling of mistrust bordering on hatred
boss around,He’s used to bossing his little brother around.
bottle out,Greg bent down and hauled a bottle out of the wine rack in the corner.
bottle out,"She took the whiskey bottle out of my hand as she spoke and drinking from it, passed a mouthful of the booze onto Alice."
bottle out,She was getting a bottle out of a crate of bottom-of-the-range Bulgarian wine that was sitting by the kitchen door.
bottle up,But don't put your life on hold in hope or bottle up your feelings.
bottle up,"But the tears just felt like the most amazing release for all the grief, sadness and pain I'd bottled up for years."
bottle up,"He bottled up his distress for decades, a classic migraine trigger."
bottle up,The governess can no longer bottle up her feelings in the third episode of the four-part series and admits her true feelings for Rochester.
bottle up,private resentments that she had bottled up for ten years
bottom out,If we bottom out there is no torpedo in the world that can dive that deep.
bottom out,"Property prices are still falling, and show no signs of bottoming out."
bounce around,They like to get together and bounce ideas around.
bounce back,"After an early defeat, she bounced back to win the championship."
bounce back,"BT’s shares fell dramatically, but bounced back before the end of the day."
bounce back,He can bounce back to form.
bounce back,He might be best when fresh and he needs to bounce back after hitting the turf back at Cheltenham last time.
bounce back,He should be good enough to bounce back better.
bounce back,"He’s sad about Sally leaving him, but he’ll bounce back."
bounce back,How does he bounce back from one seeming disaster after another?
bounce back,It looks like employer confidence is bouncing back.
bounce back,It would have done her good to bounce back into football action.
bounce back,One said it bounced back into the road after the impact.
bounce back,Our focus has to be on bouncing back with three points.
bounce back,Real champions bounce back to get results when the pressure is on and the doubts are increasing.
bounce back,Scotland lost their opening four games before bouncing back with three consecutive victories.
bounce back,There are still a lot of games to go and we have to bounce back quickly.
bounce back,This was a great way to bounce back.
bounce back,"Took some big hits, but bounced back and will learn."
bounce back,United always used to be able to bounce back from a bad result.
bounce back,United have also bounced back impressively after setbacks this season.
bounce back,"Unlike those who think it will bounce back when output recovers, he suggested the supply capacity of the economy could have been damaged."
bounce back,We are going to bounce back and show our character.
bounce back,We are very good at bouncing back when we are down.
bounce back,We said between ourselves that we had to bounce back and get into Europe.
bounce back,We will bounce back after checking what went wrong.
bounce off,"If you have a moment, I’d like to bounce an alternative plan off you."
bounce off,The radar waves bounce off objects in their path.
bow out,And then suddenly he walked over toward his horse and slid his bow out of its sling.
bow out,She has no plans to bow out of politics just yet.
bow out,"That would be the only graceful way to bow out of Clayton's, the only way not to infuriate Andrew McClintock."
bow to,He finally bowed to the inevitable and resigned.
bow to,Laura did not usually bow to her husband’s wishes.
bow to,They finally bowed to political pressure and signed the agreement.
bow to,the government’s unwillingness to bow to the terrorists
bowl out,England were bowled out and lost by 66 runs.
bowl over,If he gets you in his sights and bowls over after over at you it is going to be dangerous.
bowl over,"The ""Mighty Atom"" was near bowled over by one of them."
bowl over,The star says he has swapped wild Friday nights out with the lads after being bowled over by the Eastern meditative exercise.
bowl over,We were bowled over by the sheer beauty of the landscape.
box in,I was boxed in until the other driver came back.
box in,"If they promise big tax cuts, they could be boxing themselves in."
box in,You will be able to tell from the odor wafting from his box in my bathroom.
box off,They’ve boxed off the bathroom.
